timestamp,epoch,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air
2019-09-19 18:20:11+00:00,1568917211,3.790344715,26.84,33.56,102.78,-156.44,73,650,853,28.33,32.68,103.28,1.23,1.26,1.26,44.51
2019-09-19 18:21:13+00:00,1568917273,4.157369614,26.98,33.13,102.78,-156.44,91,650,810,28.58,31.96,104.44,1.4100000000000001,1.45,1.45,45.51
2019-09-19 18:22:15+00:00,1568917335,3.807180882,27.13,32.89,102.78,-156.6,104,674,819,28.81,31.81,106.96,1.04,1.07,1.07,46.91
2019-09-19 18:23:17+00:00,1568917397,3.772386312,27.28,32.49,102.78,-156.77,119,694,817,28.85,31.56,104.13,1.2,1.23,1.23,46.91
2019-09-19 18:33:06+00:00,1568917986,3.820649624,27.21,31.18,102.76,-154.95,47,525,764,29.22,29.55,-98.0,1.48,1.57,1.6099999999999999,46.43
2019-09-19 18:34:08+00:00,1568918048,4.596228123,27.27,31.17,102.76,-154.79,46,520,763,29.38,29.7,127.79,1.34,1.4100000000000001,1.45,46.75
2019-09-19 18:35:10+00:00,1568918110,4.139410973,27.4,30.86,102.75,-154.46,53,513,767,29.43,29.27,126.64,1.15,1.22,1.26,47.12
2019-09-19 18:36:11+00:00,1568918171,3.831873655,27.5,30.91,102.75,-154.29,74,543,766,29.57,29.31,125.85,1.52,1.6,1.6400000000000001,47.26
2019-09-19 18:37:13+00:00,1568918233,4.408787251,27.54,30.71,102.75,-154.13,87,554,771,29.54,29.0,124.58,1.32,1.3900000000000001,1.42,46.24
2019-09-19 18:38:15+00:00,1568918295,4.15400219,27.6,30.62,102.75,-154.13,92,575,770,29.77,29.07,123.17,1.37,1.43,1.45,47.78
2019-09-19 18:39:17+00:00,1568918357,3.817282438,27.71,30.49,102.75,-153.8,124,595,780,29.84,28.72,120.73,1.1400000000000001,1.17,1.17,49.75
2019-09-19 18:40:19+00:00,1568918419,4.004723072,27.7,30.52,102.74,-153.64,117,577,780,29.74,28.73,122.35,1.55,1.5899999999999999,1.5899999999999999,47.64
2019-09-19 18:41:20+00:00,1568918480,4.1270647050000004,27.69,30.45,102.74,-153.47,118,597,768,29.89,28.79,120.5,1.12,1.15,1.15,48.16
2019-09-19 18:42:22+00:00,1568918542,3.815037489,27.75,30.24,102.74,-153.39,112,587,775,29.89,28.52,118.42,1.18,1.22,1.23,46.93
2019-09-19 18:43:24+00:00,1568918604,3.841975212,27.85,30.17,102.74,-153.39,119,565,777,30.1,28.43,116.5,1.5,1.54,1.54,0.15
2019-09-19 18:44:27+00:00,1568918667,4.132676601,27.87,30.04,102.74,-153.64,120,575,772,30.08,28.57,114.34,1.42,1.46,1.46,0.17
2019-09-19 18:45:30+00:00,1568918730,3.501888037,27.89,32.71,102.74,-153.47,145,609,830,29.8,30.54,50.07,1.5899999999999999,1.63,1.63,0.19
2019-09-19 18:46:33+00:00,1568918793,3.802691221,27.94,30.3,102.74,-153.64,156,597,800,29.83,28.85,83.83,1.18,1.21,1.21,0.28
2019-09-19 18:47:36+00:00,1568918856,3.959827185,27.84,30.1,102.74,-153.8,140,571,782,29.83,28.59,92.57,1.19,1.23,1.23,0.23
2019-09-19 18:48:39+00:00,1568918919,3.843097687,27.92,29.9,102.75,-154.13,167,579,782,29.83,28.44,91.88,1.52,1.56,1.56,0.17
2019-09-19 18:49:42+00:00,1568918982,4.334708691,27.87,29.85,102.75,-154.13,143,518,780,29.73,28.44,91.33,1.54,1.58,1.58,0.17
2019-09-19 18:50:45+00:00,1568919045,3.8139152530000002,27.74,30.03,102.75,-154.13,156,521,774,29.67,28.59,91.02,1.4,1.44,1.44,0.09
2019-09-19 18:51:48+00:00,1568919108,4.371747971,27.84,29.89,102.75,-154.29,166,532,784,29.59,28.5,726.97,1.32,1.35,1.35,0.14
2019-09-19 18:52:50+00:00,1568919170,3.868912697,27.73,30.04,102.75,-154.29,170,539,787,29.54,28.85,90.59,1.21,1.24,1.24,0.13
2019-09-19 18:53:53+00:00,1568919233,4.341443062,27.72,29.93,102.75,-154.29,168,531,791,29.47,28.63,75.64,1.32,1.3599999999999999,1.3599999999999999,0.11
2019-09-19 18:54:56+00:00,1568919296,4.340320587,27.61,30.05,102.75,-154.46,169,505,773,29.42,28.83,77.3,1.19,1.23,1.23,0.07
2019-09-19 18:55:59+00:00,1568919359,3.864423275,27.63,30.12,102.75,-154.62,192,534,774,29.42,28.8,77.52,1.3599999999999999,1.4,1.4,0.09
2019-09-19 18:57:02+00:00,1568919422,4.279711246,27.73,29.85,102.75,-154.46,173,513,795,29.39,28.88,77.31,1.02,1.05,1.05,0.1
2019-09-19 18:58:05+00:00,1568919485,3.850954294,27.7,29.89,102.75,-154.13,193,524,760,29.26,28.97,77.26,1.26,1.29,1.29,0.08
2019-09-19 18:59:08+00:00,1568919548,4.252773762,27.81,29.67,102.75,-153.96,182,503,780,29.3,28.99,76.25,1.49,1.53,1.53,0.07
2019-09-19 19:00:10+00:00,1568919610,3.852076769,27.87,29.7,102.75,-153.8,193,513,775,29.26,29.06,76.62,1.34,1.37,1.37,0.09
2019-09-19 19:01:13+00:00,1568919673,4.219101429,27.95,29.74,102.74,-153.64,203,532,763,29.33,29.09,76.55,1.17,1.2,1.2,0.09
2019-09-19 19:02:16+00:00,1568919736,3.825139284,27.89,29.73,102.74,-153.64,210,546,772,29.19,29.15,76.33,1.08,1.11,1.11,0.15
2019-09-19 19:03:19+00:00,1568919799,4.204510212,27.81,29.86,102.74,-153.39,227,584,784,29.25,29.17,75.96,1.24,1.27,1.27,0.18
2019-09-19 19:04:22+00:00,1568919862,3.864423275,27.75,30.04,102.73,-153.06,229,575,779,29.3,29.13,75.72,1.1400000000000001,1.17,1.17,0.11
2019-09-19 19:05:25+00:00,1568919925,4.198898315,27.67,30.11,102.73,-152.89,225,580,786,29.3,29.08,75.63,1.4,1.44,1.44,0.17
2019-09-19 19:06:28+00:00,1568919988,3.832995892,27.69,29.91,102.73,-152.4,222,537,780,29.28,28.99,75.64,1.02,1.05,1.05,0.13
2019-09-19 19:07:30+00:00,1568920050,4.187674522,27.62,29.94,102.73,-152.57,215,527,815,29.22,29.08,75.41,1.58,1.62,1.62,0.18
2019-09-19 19:08:33+00:00,1568920113,3.841975212,27.62,29.96,102.73,-152.4,229,554,782,29.29,28.96,75.08,1.27,1.3,1.3,0.15
2019-09-19 19:09:36+00:00,1568920176,4.217979431,27.57,29.93,102.72,-152.24,222,526,795,29.22,28.94,75.04,1.22,1.25,1.25,0.12
2019-09-19 19:10:39+00:00,1568920239,3.861056089,27.56,29.93,102.72,-152.07,234,545,798,29.22,28.94,74.69,1.31,1.34,1.34,0.07
2019-09-19 19:11:42+00:00,1568920302,4.15400219,27.5,29.94,102.72,-152.07,229,541,775,29.13,29.04,73.89,1.23,1.27,1.27,0.07
2019-09-19 19:12:45+00:00,1568920365,3.82626152,27.46,30.0,102.72,-151.74,222,529,779,29.18,29.01,74.43,1.63,1.67,1.67,0.08
2019-09-19 19:13:48+00:00,1568920428,4.192163944,27.45,30.06,102.72,-151.74,228,525,798,29.06,29.06,74.22,1.12,1.15,1.15,0.14
2019-09-19 19:14:51+00:00,1568920491,3.841975212,27.52,29.91,102.72,-151.58,230,537,782,29.1,28.95,73.71,1.22,1.25,1.25,0.11
2019-09-19 19:15:53+00:00,1568920553,4.195531368,27.43,30.08,102.72,-151.74,246,522,788,29.16,28.88,72.92,1.23,1.26,1.26,0.04
2019-09-19 19:16:56+00:00,1568920616,4.212367058,27.58,29.72,102.71,-151.25,223,511,783,29.15,28.85,73.4,1.02,1.05,1.05,0.04
2019-09-19 19:17:59+00:00,1568920679,3.843097687,27.57,29.86,102.72,-151.25,218,527,789,28.98,29.16,73.18,1.06,1.09,1.09,0.08
2019-09-19 19:19:02+00:00,1568920742,4.175327778,27.35,30.24,102.71,-151.25,233,541,800,28.81,29.28,72.92,1.46,1.5,1.5,0.12
2019-09-19 19:20:05+00:00,1568920805,3.806058407,27.2,30.3,102.71,-151.41,237,525,783,28.85,29.34,72.63,1.25,1.28,1.28,0.07
2019-09-19 19:21:08+00:00,1568920868,4.044007301,27.21,30.25,102.71,-151.41,225,506,775,28.92,29.17,72.4,1.09,1.11,1.11,0.05
